id,subaccount,parent_account,School_College
1464,LTI Sub-account,109,LTI Sub-account
1459,Joe User sub-account,109,Joe User sub-account
1152,School of Nursing Student Organization Project Sites,111,School of Nursing Student Organization Project Sites
304,School of Nursing Faculty Project Sites,111,School of Nursing Faculty Project Sites
809,LSA Natural Science Departmen,112,LSA Natural Science Departmen
923,LSA Research & Graduate Std,112,LSA Research & Graduate Std
401,LSA Digital Studies,112,LSA Digital Studies
155,Judaic Studies Program,112,Judaic Studies Program
39,LSA First Year Seminars,112,LSA First Year Seminars
1151,Language Resource Center,112,Language Resource Center
172,Biology Department,112,Biology Department
162,Philosophy Department,112,Philosophy Department
152,Germanic Languages & Lit Dept,112,Germanic Languages & Lit Dept
176,Dept of Afro-Am & African Std,112,Dept of Afro-Am & African Std
153,History Department,112,History Department
139,Astronomy Department,112,Astronomy Department
166,Residential College,112,Residential College
383,LSA College Auxiliary Service,112,LSA College Auxiliary Service
187,Studies In Religion,112,Studies In Religion
178,Comprehensive Studies Program,112,Comprehensive Studies Program
144,Classical Studies Department,112,Classical Studies Department
151,Earth & Environmental Sciences,112,Earth & Environmental Sciences
1291,PlayPosit,112,PlayPosit
186,LSA II: SE Asian Studies,112,LSA II: SE Asian Studies
171,Women's Studies Department,112,Women's Studies Department
388,LSA University Course Develp,112,LSA University Course Develp
133,LSA Dean:  Facilities - USB,112,LSA Dean:  Facilities - USB
164,Applied Physics Program,112,Applied Physics Program
170,Communication and Media,112,Communication and Media
198,Program Study of Complex Syste,112,Program Study of Complex Syste
404,LSA II: Nam Ctr Korean Studies,112,LSA II: Nam Ctr Korean Studies
42,Statistics Department,112,Statistics Department
132,LSA Media Services,112,LSA Media Services
907,LSA Social Science Department,112,LSA Social Science Department
180,"Film, Television, and Media",112,"Film, Television, and Media"
173,"Molecular,Cell & Devel Biology",112,"Molecular,Cell & Devel Biology"
1443,LSA Science Learning Center,112,LSA Science Learning Center
149,Sweetland Center for Writing,112,Sweetland Center for Writing
41,Political Science Department,112,Political Science Department
1284,Newnan Advising,112,Newnan Advising
405,LSA II: Armenian Studies,112,LSA II: Armenian Studies
199,Biophysics Research Division,112,Biophysics Research Division
182,LSA II: ME & N African St,112,LSA II: ME & N African St
147,Economics Department,112,Economics Department
1282,MIS,112,MIS
179,Comparative Literature Program,112,Comparative Literature Program
185,LSA II: South Asian Studies,112,LSA II: South Asian Studies
1238,Barger Leadership Institute,112,Barger Leadership Institute
175,International Institute,112,International Institute
138,Anthropology Department,112,Anthropology Department
142,Program in the Environment (LSA),112,Program in the Environment (LSA)
906,LSA Programs And Centers,112,LSA Programs And Centers
131,Humanities Institute,112,Humanities Institute
150,Asian Languages And Cultures,112,Asian Languages And Cultures
1432,LSA Quant Methods & SocSci Pgm,112,LSA Quant Methods & SocSci Pgm
128,LSA Budget & Admin,112,LSA Budget & Admin
169,Sociology Department,112,Sociology Department
892,LSA Information Technology,112,LSA Information Technology
108,LS&A ISS,112,LS&A ISS
130,LSA Classrooms,112,LSA Classrooms
538,LSA Dev & External Relations,112,LSA Dev & External Relations
1178,CGIS,112,CGIS
154,Medieval & Early Modern Std,112,Medieval & Early Modern Std
177,LSA II:  Chinese Studies,112,LSA II:  Chinese Studies
184,"LSA II: Russ, EE & Eurasian St",112,"LSA II: Russ, EE & Eurasian St"
183,Department of American Culture,112,Department of American Culture
197,Museum of Art,112,Museum of Art
403,LSA II: Prg Intl Comp Studies,112,LSA II: Prg Intl Comp Studies
174,Ecology & Evolutionary Biology,112,Ecology & Evolutionary Biology
148,English Language & Lit Dept,112,English Language & Lit Dept
385,LSA Undergraduate Education,112,LSA Undergraduate Education
1438,Human Resources Courses,112,Human Resources Courses
168,Slavic Languages & Lit Dept,112,Slavic Languages & Lit Dept
386,LSA Ta Training,112,LSA Ta Training
158,English Language Institute,112,English Language Institute
40,Department of Linguistics,112,Department of Linguistics
893,LSA Humanities Departments,112,LSA Humanities Departments
157,Honors Program,112,Honors Program
163,Physics Department,112,Physics Department
191,Exhibit Museum,112,Exhibit Museum
1214,Demos and Sandbox,112,Demos and Sandbox
161,Middle East Studies Dept,112,Middle East Studies Dept
137,LSA Inteflex,112,LSA Inteflex
406,LSA II: African Studies Center,112,LSA II: African Studies Center
136,Office of International Progra,112,Office of International Progra
143,Chemistry Department,112,Chemistry Department
127,LSA UG: Lloyd Scholars- W&A,112,LSA UG: Lloyd Scholars- W&A
167,Romance Languages Department,112,Romance Languages Department
189,LSA II: Latin Amer & Carib,112,LSA II: Latin Amer & Carib
415,LSA Museums and Research Unit,112,LSA Museums and Research Unit
145,Program In Computer Science,112,Program In Computer Science
129,LSA Student Academic Affairs,112,LSA Student Academic Affairs
1047,LSA II: Islamic Studies Prog,112,LSA II: Islamic Studies Prog
156,History Of Art Department,112,History Of Art Department
146,Organizational Studies,112,Organizational Studies
387,LSA 21St Century Program,112,LSA 21St Century Program
188,LSA II:  European Studies,112,LSA II:  European Studies
181,LSA II: Japanese Studies,112,LSA II: Japanese Studies
160,Mathematics Department,112,Mathematics Department
1169,Instructional Support Services,112,Instructional Support Services
196,Macromolecular Sci & Engr Ctr,112,Macromolecular Sci & Engr Ctr
402,LSA II: World Performance St,112,LSA II: World Performance St
165,Psychology Department,112,Psychology Department
539,LSA Faculty Appointments,112,LSA Faculty Appointments
1476,SEISMIC (branded),112,SEISMIC (branded)
1477,LSA Computation for Arts & Sci,112,LSA Computation for Arts & Sci
1483,Intend-to-Attend,112,Intend-to-Attend
1484,International Institute Outreach,112,International Institute Outreach
226,Design Science Program,113,Design Science Program
1319,Engineering Education Research,113,Engineering Education Research
1425,Great Lakes I-Corps,113,Great Lakes I-Corps
220,Industrial-Operations Engr Dep,113,Industrial-Operations Engr Dep
222,Climate and Space Sciences Eng,113,Climate and Space Sciences Eng
225,Nuclear Engr & Radiological Sc,113,Nuclear Engr & Radiological Sc
224,Naval Arch & Marine Engr Dept,113,Naval Arch & Marine Engr Dept
214,Civil & Environmental Engr,113,Civil & Environmental Engr
204,Engineering Study Abroad,113,Engineering Study Abroad
219,Technical Communication,113,Technical Communication
1461,CAEN,113,CAEN
213,Center For Professional Develo,113,Center For Professional Develo
206,Biomedical Engineering,113,Biomedical Engineering
221,Materials Science & Engin,113,Materials Science & Engin
43,Mech Eng & Applied Mech Dept,113,Mech Eng & Applied Mech Dept
205,Integrative Systems & Design,113,Integrative Systems & Design
207,Program In Manufacturing,113,Program In Manufacturing
212,Chemical Engineering Dept,113,Chemical Engineering Dept
202,Engineering Undergraduate Educ,113,Engineering Undergraduate Educ
201,CoE Robotics Institute,113,CoE Robotics Institute
211,Aerospace Engineering,113,Aerospace Engineering
216,Electrical Engr & Computer Sci,113,Electrical Engr & Computer Sci
1598,Michigan AI Lab,113,Michigan AI Lab
236,Human Genetics Department,114,Human Genetics Department
227,Cancer Biology Graduate Progrm,114,Cancer Biology Graduate Progrm
245,Pathology Department,114,Pathology Department
247,Pharmacology Department,114,Pharmacology Department
255,Surgery Department,114,Surgery Department
231,Bioinformatics,114,Bioinformatics
229,Program in Biomedical Sciences,114,Program in Biomedical Sciences
230,Cellular and Molecular Biology,114,Cellular and Molecular Biology
250,Learning Health Sciences,114,Learning Health Sciences
242,Obstetrics And Gynecology Dept,114,Obstetrics And Gynecology Dept
259,Center For Neuroscience,114,Center For Neuroscience
234,Biological Chemistry Departmen,114,Biological Chemistry Departmen
246,Pediatrics & Comm Diseases Dep,114,Pediatrics & Comm Diseases Dep
243,Ophthalmology Department,114,Ophthalmology Department
252,Psychiatry Department,114,Psychiatry Department
237,Internal Medicine Department,114,Internal Medicine Department
249,Physiology Department,114,Physiology Department
228,Medical School Administration,114,Medical School Administration
248,Physical Medicine & Rehab Dept,114,Physical Medicine & Rehab Dept
251,Division of Anatomical Science,114,Division of Anatomical Science
257,Orthopaedic Surgery,114,Orthopaedic Surgery
241,Neurology Department,114,Neurology Department
1320,Mary H. Weiser Food Allergy Center,114,Mary H. Weiser Food Allergy Center
235,Dermatology Department,114,Dermatology Department
244,Otorhinolaryngology Department,114,Otorhinolaryngology Department
258,Urology Surgery,114,Urology Surgery
233,Anesthesiology Department,114,Anesthesiology Department
239,Int Med-General Medicine,114,Int Med-General Medicine
308,Postbac MEDPREP (Post-Baccalaureate Premedical Program),114,Postbac MEDPREP (Post-Baccalaureate Premedical Program)
232,Cell and Developmental Biology,114,Cell and Developmental Biology
256,Neurosurgery,114,Neurosurgery
240,Microbiology And Immunology,114,Microbiology And Immunology
254,Radiation Oncology,114,Radiation Oncology
460,Urban and Regional Planning,115,Urban and Regional Planning
1107,Stamps: Foundations,116,Stamps: Foundations
266,"Cariology,Restor Sci & Endo",117,"Cariology,Restor Sci & Endo"
1434,Learning Outcomes Sandbox,117,Learning Outcomes Sandbox
44,Dental Hygiene-Dentistry,117,Dental Hygiene-Dentistry
1063,Law Project Sites,118,Law Project Sites
1064,Law Sandbox Sites,118,Law Sandbox Sites
1481,LTI Attendance Tools Evaluation,118,LTI Attendance Tools Evaluation
1318,Program in the Environment (SEAS),119,Program in the Environment (SEAS)
317,Nutritional Sciences,120,Nutritional Sciences
53,Health Management And Policy,120,Health Management And Policy
48,Environmental Health Sciences,120,Environmental Health Sciences
1113,School of Public Health Projects,120,School of Public Health Projects
285,Biostatistics Department,120,Biostatistics Department
1202,Outcomes Development,120,Outcomes Development
287,Health Behavior & Hlth Ed Dept,120,Health Behavior & Hlth Ed Dept
286,Epidemiology Department,120,EPID Summer Session
1165,Global and Engaged Education,123,Global and Engaged Education
300,SRC-PSM Graduate Program,125,SRC-PSM Graduate Program
1482,SRC Summer Institute,125,SRC Summer Institute
1594,"Equity, Civil Rights, and Title IX",126,"Equity, Civil Rights, and Title IX"
1211,Language Resource Center Blueprint Testing,1151,Language Resource Center Blueprint Testing
1154,Communications and Technology Management,1153,Communications and Technology Management
1156,Systematic Reviews: Opportunities for Librarians,1155,Systematic Reviews: Opportunities for Librarians
1116,Chemistry Projects,143,Chemistry Projects
1315,bcoppola chem exams,143,bcoppola chem exams
1433,Math 216 - Blueprint and associated course,160,Math 216 - Blueprint and associated course
1223,Center for Socially Engaged Design,1190,Center for Socially Engaged Design
1236,Catalog Sandbox,1190,Catalog Sandbox
1191,Michigan Public Health Training Center,1190,Michigan Public Health Training Center
1167,Women's Studies Projects ,171,Women's Studies Projects 
1469,Fast Forward Medical Innovation,1460,Fast Forward Medical Innovation
1208,Ypsilanti,1205,Ypsilanti
1206,Detroit,1205,Detroit
1207,Southfield,1205,Southfield
1216,Dept. of Organizational Learning,1215,Dept. of Organizational Learning
1300,Michigan Medicine HR,1215,Michigan Medicine HR
1465,Special Theme,1216,Special Theme
1219,eLearning,1218,eLearning
1317,ME 450,1223,ME 450
1293,C-SED Main Page Courses,1223,C-SED Main Page Courses
1454,External,1223,External
1294,Project Team Specific Courses,1223,Project Team Specific Courses
1295,GHDI Courses,1223,GHDI Courses
1422,ENGR 100,1223,ENGR 100
1440,MPowered,202,MPowered
1068,ISD Program Development,205,ISD Program Development
1451,Course Copies,1231,Course Copies
1292,Template Styling,1231,Template Styling
1235,Online MBA Sandbox,1231,Online MBA Sandbox
1289,LTI apps,1231,LTI apps
1239,U-M Lib Sandboxes,1232,U-M Lib Sandboxes
1233,U-M Lib Staff Development,1232,U-M Lib Staff Development
1281,U-M Lib Testing,1232,U-M Lib Testing
1234,U-M Lib Instruction,1232,U-M Lib Instruction
1298,Canvas Course Basics 12-9-19,1240,Canvas Course Basics 12-9-19
1299,Canvas Course Basics 12-12-19,1240,Canvas Course Basics 12-12-19
1285,Canvas Course Basics 5-9-19,1240,Canvas Course Basics 5-9-19
1466,LHS MM Quality ,250,LHS MM Quality 
1444,LHS Course Design,250,LHS Course Design
1456,LHS HILS Online,250,LHS HILS Online
